t (s),U1(V)
1.056000,-0.282360
1.057000,-0.282360
1.058000,-0.277131
1.059000,-0.277131
1.060000,-0.271902
1.061000,-0.271902
1.062000,-0.266673
1.063000,-0.266673
1.064000,-0.266673
1.065000,-0.261444
1.066000,-0.261444
1.067000,-0.256215
1.068000,-0.256215
1.069000,-0.250986
1.070000,-0.250986
1.071000,-0.245757
1.072000,-0.245757
1.073000,-0.245757
1.074000,-0.240529
1.075000,-0.235300
1.076000,-0.235300
1.077000,-0.235300
1.078000,-0.235300
1.079000,-0.230071
1.080000,-0.230071
1.081000,-0.224842
1.082000,-0.224842
1.083000,-0.219613
1.084000,-0.214384
1.085000,-0.214384
1.086000,-0.214384
1.087000,-0.209155
1.088000,-0.209155
1.089000,-0.203926
1.090000,-0.203926
1.091000,-0.203926
1.092000,-0.193469
1.093000,-0.193469
1.094000,-0.193469
1.095000,-0.193469
1.096000,-0.188240
1.097000,-0.188240
1.098000,-0.188240
1.099000,-0.183011
1.100000,-0.177782
1.101000,-0.177782
1.102000,-0.177782
1.103000,-0.172553
1.104000,-0.172553
1.105000,-0.167324
1.106000,-0.167324
1.107000,-0.162095
1.108000,-0.162095
1.109000,-0.156866
1.110000,-0.156866
1.111000,-0.156866
1.112000,-0.151638
1.113000,-0.151638
1.114000,-0.146409
1.115000,-0.141180
1.116000,-0.141180
1.117000,-0.141180
1.118000,-0.135951
1.119000,-0.135951
1.120000,-0.135951
1.121000,-0.130722
1.122000,-0.130722
1.123000,-0.125493
1.124000,-0.120264
1.125000,-0.125493
1.126000,-0.120264
1.127000,-0.120264
1.128000,-0.115035
1.129000,-0.115035
1.130000,-0.109807
1.131000,-0.109807
1.132000,-0.104578
1.133000,-0.104578
1.134000,-0.099349
1.135000,-0.099349
1.136000,-0.099349
1.137000,-0.094120
1.138000,-0.094120
1.139000,-0.088891
1.140000,-0.088891
1.141000,-0.083662
1.142000,-0.083662
1.143000,-0.083662
1.144000,-0.078433
1.145000,-0.078433
1.146000,-0.073204
1.147000,-0.073204
1.148000,-0.067975
1.149000,-0.067975
1.150000,-0.062747
1.151000,-0.057518
1.152000,-0.062747
1.153000,-0.057518
1.154000,-0.052289
1.155000,-0.052289
1.156000,-0.047060
1.157000,-0.047060
1.158000,-0.047060
1.159000,-0.041831
1.160000,-0.041831
1.161000,-0.041831
1.162000,-0.036602
1.163000,-0.036602
1.164000,-0.031373
1.165000,-0.031373
1.166000,-0.031373
1.167000,-0.026144
1.168000,-0.020916
1.169000,-0.026144
1.170000,-0.020916
1.171000,-0.015687
1.172000,-0.010458
1.173000,-0.010458
1.174000,-0.010458
1.175000,-0.005229
1.176000,-0.005229
1.177000,-0.005229
1.178000,0.000000
1.179000,0.000000
1.180000,0.000000
1.181000,0.005229
1.182000,0.005229
1.183000,0.010458
1.184000,0.010458
1.185000,0.015687
1.186000,0.020916
1.187000,0.020916
1.188000,0.020916
1.189000,0.026144
1.190000,0.026144
1.191000,0.031373
1.192000,0.026144
1.193000,0.031373
1.194000,0.036602
1.195000,0.036602
1.196000,0.041831
1.197000,0.041831
1.198000,0.041831
1.199000,0.047060
1.200000,0.047060
1.201000,0.052289
1.202000,0.052289
1.203000,0.057518
1.204000,0.057518
1.205000,0.057518
1.206000,0.062747
1.207000,0.062747
1.208000,0.067975
1.209000,0.067975
1.210000,0.073204
1.211000,0.073204
1.212000,0.078433
1.213000,0.078433
1.214000,0.078433
1.215000,0.083662
1.216000,0.083662
1.217000,0.088891
1.218000,0.088891
1.219000,0.088891
1.220000,0.094120
1.221000,0.094120
1.222000,0.094120
1.223000,0.099349
1.224000,0.104578
1.225000,0.104578
1.226000,0.109807
1.227000,0.109807
1.228000,0.109807
1.229000,0.115035
1.230000,0.115035
1.231000,0.115035
1.232000,0.120264
1.233000,0.120264
1.234000,0.125493
1.235000,0.125493
1.236000,0.130722
1.237000,0.130722
1.238000,0.130722
1.239000,0.135951
1.240000,0.135951
1.241000,0.141180
1.242000,0.141180
1.243000,0.146409
1.244000,0.146409
1.245000,0.146409
1.246000,0.151638
1.247000,0.151638
1.248000,0.151638
1.249000,0.156866
1.250000,0.156866
1.251000,0.162095
1.252000,0.162095
1.253000,0.162095
1.254000,0.167324
1.255000,0.167324
1.256000,0.172553
1.257000,0.172553
1.258000,0.177782
1.259000,0.177782
1.260000,0.183011
1.261000,0.188240
1.262000,0.188240
1.263000,0.183011
1.264000,0.188240
1.265000,0.188240
1.266000,0.193469
1.267000,0.193469
1.268000,0.198697
1.269000,0.198697
1.270000,0.198697
1.271000,0.198697
1.272000,0.203926
1.273000,0.203926
1.274000,0.209155
1.275000,0.209155
1.276000,0.209155
1.277000,0.214384
1.278000,0.214384
1.279000,0.214384
1.280000,0.219613
1.281000,0.219613
1.282000,0.224842
1.283000,0.224842
1.284000,0.230071
1.285000,0.230071
1.286000,0.230071
1.287000,0.235300
1.288000,0.235300
1.289000,0.240529
1.290000,0.240529
1.291000,0.240529
1.292000,0.245757
1.293000,0.245757
1.294000,0.250986
1.295000,0.250986
1.296000,0.250986
1.297000,0.256215
1.298000,0.256215
