"Frequency[kHz]","Channel A[dBu]"
29.37316895,-55.27316000
29.42085266,-55.93587000
29.46853638,-65.69411000
29.51622009,-64.80150000
29.56390381,-60.81608000
29.61158752,-62.39649000
29.65927124,-60.24486000
29.70695496,-57.55022000
29.75463867,-60.20964000
29.80232239,-67.25381000
29.85000610,-52.61818000
29.89768982,-56.02501000
29.94537354,-61.76749000
29.99305725,-55.75129000
30.04074097,-58.86174000
30.08842468,-68.87962000
30.13610840,-57.35035000
30.18379211,-61.41983000
30.23147583,-57.93446000
30.27915955,-54.66691000
30.32684326,-57.43591000
30.37452698,-58.35621000
30.42221069,-50.50970000
30.46989441,-51.94776000
30.51757813,-53.09251000
30.56526184,-52.47407000
30.61294556,-59.46758000
30.66062927,-89.20175000
30.70831299,-64.68267000
30.75599670,-62.27072000
30.80368042,-57.48794000
30.85136414,-51.49626000
30.89904785,-51.17017000
30.94673157,-59.08237000
30.99441528,-60.34922000
31.04209900,-57.49494000
31.08978271,-61.43623000
31.13746643,-57.85503000
31.18515015,-51.78806000
31.23283386,-50.47213000
31.28051758,-52.14996000
31.32820129,-52.47110000
31.37588501,-52.38013000
31.42356873,-52.00142000
31.47125244,-52.21552000
31.51893616,-55.97789000
31.56661987,-60.59391000
31.61430359,-64.19536000
31.66198730,-53.56113000
31.70967102,-57.82164000
31.75735474,-58.58865000
31.80503845,-55.98211000
31.85272217,-64.62798000
31.90040588,-55.27189000
31.94808960,-60.72997000
31.99577332,-56.93813000
32.04345703,-55.63651000
32.09114075,-59.57413000
32.13882446,-57.02699000
32.18650818,-55.59403000
32.23419189,-55.59459000
32.28187561,-57.23257000
32.32955933,-60.38771000
32.37724304,-50.35736000
32.42492676,-50.16384000
32.47261047,-54.12180000
32.52029419,-60.79079000
32.56797791,-62.32218000
32.61566162,-53.46944000
32.66334534,-51.84665000
32.71102905,-57.30983000
32.75871277,-54.59997000
32.80639648,-52.68322000
32.85408020,-51.90062000
32.90176392,-48.06079000
32.94944763,-49.23992000
32.99713135,-62.35878000
33.04481506,-63.18413000
33.09249878,-78.96108000
33.14018250,-59.93674000
33.18786621,-54.13227000
33.23554993,-53.42888000
33.28323364,-58.63878000
33.33091736,-59.78852000
33.37860107,-60.29121000
33.42628479,-56.92532000
33.47396851,-57.84271000
33.52165222,-53.29745000
33.56933594,-50.95036000
33.61701965,-51.87923000
33.66470337,-52.67622000
33.71238708,-51.43562000
33.76007080,-50.81154000
33.80775452,-50.82943000
33.85543823,-51.46227000
33.90312195,-52.82913000
33.95080566,-55.56902000
33.99848938,-58.21568000
34.04617310,-61.88522000
34.09385681,-59.95365000
34.14154053,-62.74450000
34.18922424,-66.56614000
34.23690796,-59.98214000
34.28459167,-62.79569000
34.33227539,-71.93578000
34.37995911,-62.92280000
34.42764282,-62.39518000
34.47532654,-66.22108000
34.52301025,-63.00291000
34.57069397,-57.17623000
34.61837769,-55.06469000
34.66606140,-57.58834000
34.71374512,-66.95540000
34.76142883,-56.74055000
34.80911255,-58.08028000
34.85679626,-62.09546000
34.90447998,-57.11624000
34.95216370,-51.95495000
34.99984741,-54.29249000
35.04753113,-59.32387000
35.09521484,-57.09734000
35.14289856,-56.56694000
35.19058228,-55.95083000
35.23826599,-58.40179000
35.28594971,-58.01693000
35.33363342,-56.36755000
35.38131714,-65.77209000
35.42900085,-67.80788000
35.47668457,-62.75375000
35.52436829,-59.92966000
35.57205200,-59.44134000
35.61973572,-63.95927000
35.66741943,-60.93046000
35.71510315,-54.62118000
35.76278687,-53.83527000
35.81047058,-55.46917000
35.85815430,-51.59368000
35.90583801,-57.32460000
35.95352173,-70.33805000
36.00120544,-61.89822000
36.04888916,-55.44042000
36.09657288,-56.80419000
36.14425659,-72.00805000
36.19194031,-60.07476000
36.23962402,-53.54273000
36.28730774,-52.21338000
36.33499146,-53.70140000
36.38267517,-56.30747000
36.43035889,-52.94160000
36.47804260,-54.20433000
36.52572632,-57.13044000
36.57341003,-58.32042000
36.62109375,-63.04248000
36.66877747,-71.56685000
36.71646118,-56.65551000
36.76414490,-53.18972000
36.81182861,-55.79151000
36.85951233,-65.50369000
36.90719604,-58.80750000
36.95487976,-59.29412000
37.00256348,-56.07905000
37.05024719,-53.50301000
37.09793091,-54.75144000
37.14561462,-60.16766000
37.19329834,-71.44668000
37.24098206,-69.14513000
37.28866577,-58.62288000
37.33634949,-54.76130000
37.38403320,-56.20541000
37.43171692,-57.75109000
37.47940063,-57.15386000
37.52708435,-58.63645000
37.57476807,-57.57514000
37.62245178,-56.38440000
37.67013550,-63.09681000
37.71781921,-56.42084000
37.76550293,-61.07047000
37.81318665,-60.46714000
37.86087036,-54.95982000
37.90855408,-55.05532000
37.95623779,-54.31295000
38.00392151,-55.00424000
38.05160522,-64.56754000
38.09928894,-62.30980000
38.14697266,-58.17639000
38.19465637,-57.45643000
38.24234009,-57.64703000
38.29002380,-55.27697000
38.33770752,-61.43352000
38.38539124,-55.79670000
38.43307495,-69.08231000
38.48075867,-55.30293000
38.52844238,-55.66403000
38.57612610,-58.63042000
38.62380981,-55.06569000
38.67149353,-56.81437000
38.71917725,-59.00102000
38.76686096,-61.53604000
38.81454468,-57.44505000
38.86222839,-56.41930000
38.90991211,-60.22349000
38.95759583,-57.60555000
39.00527954,-59.13646000
39.05296326,-67.01217000
39.10064697,-73.03350000
39.14833069,-70.24744000
39.19601440,-60.94181000
39.24369812,-54.84256000
39.29138184,-54.33428000
39.33906555,-58.14278000
39.38674927,-55.32926000
39.43443298,-56.47652000
39.48211670,-57.30785000
39.52980042,-56.84942000
39.57748413,-76.71652000
39.62516785,-60.01047000
39.67285156,-60.09089000
39.72053528,-65.73920000
39.76821899,-67.78185000
39.81590271,-73.44170000
39.86358643,-61.09590000
39.91127014,-54.09666000
39.95895386,-47.94930000
40.00663757,-46.89767000
40.05432129,-49.49356000
40.10200500,-53.71155000
40.14968872,-56.93840000
40.19737244,-60.45327000
40.24505615,-55.13867000
40.29273987,-64.52645000
40.34042358,-60.32525000
40.38810730,-57.02310000
40.43579102,-57.77205000
40.48347473,-62.68479000
40.53115845,-59.98898000
40.57884216,-58.00438000
40.62652588,-55.64542000
40.67420959,-56.80537000
40.72189331,-57.67196000
40.76957703,-55.45734000
40.81726074,-58.30376000
40.86494446,-69.00668000
40.91262817,-59.96282000
40.96031189,-62.87019000
41.00799561,-62.40347000
41.05567932,-59.77570000
41.10336304,-57.25045000
41.15104675,-62.02519000
41.19873047,-50.40821000
41.24641418,-50.60036000
41.29409790,-65.16817000
41.34178162,-57.03513000
41.38946533,-62.69833000
41.43714905,-63.57095000
41.48483276,-59.00126000
41.53251648,-62.39781000
41.58020020,-66.47977000
41.62788391,-60.87672000
41.67556763,-66.46290000
41.72325134,-54.45174000
41.77093506,-49.96467000
41.81861877,-49.78989000
41.86630249,-51.03513000
41.91398621,-49.21841000
41.96166992,-47.60655000
42.00935364,-48.78260000
42.05703735,-51.71317000
42.10472107,-57.70646000
42.15240479,-61.03194000
42.20008850,-58.72215000
42.24777222,-64.79128000
42.29545593,-70.43621000
42.34313965,-62.75849000
42.39082336,-52.58114000
42.43850708,-51.00999000
42.48619080,-52.11513000
42.53387451,-58.48851000
42.58155823,-61.61327000
42.62924194,-55.95264000
42.67692566,-57.55415000
42.72460938,-58.64511000
42.77229309,-55.24062000
42.81997681,-53.85279000
42.86766052,-52.32440000
42.91534424,-54.05338000
42.96302795,-58.98844000
43.01071167,-59.73737000
43.05839539,-57.35873000
43.10607910,-58.01176000
43.15376282,-57.48211000
43.20144653,-55.02362000
43.24913025,-56.82637000
43.29681396,-60.68338000
43.34449768,-65.75712000
43.39218140,-69.96725000
43.43986511,-59.03653000
43.48754883,-61.54627000
43.53523254,-75.64845000
43.58291626,-68.46803000
43.63059998,-64.44063000
43.67828369,-55.72880000
43.72596741,-57.33920000
43.77365112,-62.09361000
43.82133484,-53.89281000
43.86901855,-53.20152000
43.91670227,-58.77772000
43.96438599,-55.19346000
44.01206970,-53.34595000
44.05975342,-58.14197000
44.10743713,-57.62339000
44.15512085,-55.41784000
44.20280457,-54.22445000
44.25048828,-55.41049000
44.29817200,-65.47136000
44.34585571,-66.65134000
44.39353943,-56.84652000
44.44122314,-56.84235000
44.48890686,-53.72649000
44.53659058,-48.28876000
44.58427429,-46.44733000
44.63195801,-48.63316000
44.67964172,-53.44091000
44.72732544,-54.29031000
44.77500916,-54.21295000
44.82269287,-59.29308000
44.87037659,-64.56302000
44.91806030,-73.15627000
44.96574402,-62.74506000
45.01342773,-60.71284000
45.06111145,-79.40486000
45.10879517,-60.87230000
45.15647888,-63.30451000
45.20416260,-53.90431000
45.25184631,-54.28045000
45.29953003,-58.94734000
