"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.228913971E1,1.062413216E0,-3.828516230E-2,-9.355937004E0
9.229125049E1,1.076770186E0,-3.349951655E-2,-9.351150513E0
9.229336127E1,1.071984529E0,-2.392822690E-2,-9.370293617E0
9.229547200E1,1.071984529E0,-1.914258115E-2,-9.375079155E0
9.229758278E1,1.076770186E0,-1.435693540E-2,-9.370293617E0
9.229969356E1,1.067198873E0,-1.914258115E-2,-9.375079155E0
9.230180434E1,1.081555843E0,-4.785645381E-2,-9.384650230E0
9.230391507E1,1.071984529E0,-3.828516230E-2,-9.408578873E0
9.230602586E1,1.062413216E0,-3.349951655E-2,-9.403793335E0
9.230813658E1,1.086341500E0,-2.392822690E-2,-9.403793335E0
9.231024742E1,1.086341500E0,-3.828516230E-2,-9.379864693E0
9.231235820E1,1.062413216E0,-1.435693540E-2,-9.413364410E0
9.231446893E1,1.062413216E0,-3.349951655E-2,-9.394221306E0
9.231657971E1,1.067198873E0,-9.571290575E-3,-9.413364410E0
9.231869049E1,1.071984529E0,-1.435693540E-2,-9.384650230E0
9.232080127E1,1.067198873E0,-2.871387079E-2,-9.379864693E0
9.232291200E1,1.062413216E0,-1.914258115E-2,-9.379864693E0
9.232502278E1,1.071984529E0,-2.871387079E-2,-9.365508080E0
9.232713356E1,1.076770186E0,-1.435693540E-2,-9.346364975E0
9.232924434E1,1.071984529E0,-2.392822690E-2,-9.365508080E0
9.233135507E1,1.062413216E0,-9.571290575E-3,-9.360722542E0
9.233346586E1,1.048056364E0,-1.914258115E-2,-9.365508080E0
9.233557658E1,1.081555843E0,-1.914258115E-2,-9.375079155E0
9.233768742E1,1.062413216E0,-1.914258115E-2,-9.384650230E0
9.233979815E1,1.095912814E0,-1.914258115E-2,-9.370293617E0
9.234190893E1,1.076770186E0,-3.349951655E-2,-9.370293617E0
9.234401971E1,1.081555843E0,-1.435693540E-2,-9.384650230E0
9.234613049E1,1.081555843E0,-1.435693540E-2,-9.384650230E0
9.234824122E1,1.081555843E0,-2.871387079E-2,-9.389435768E0
9.235035200E1,1.091127157E0,-1.914258115E-2,-9.399007797E0
9.235246278E1,1.071984529E0,-9.571290575E-3,-9.403793335E0
9.235457356E1,1.067198873E0,0.000000000E0,-9.389435768E0
9.235668429E1,1.076770186E0,4.785645287E-3,-9.384650230E0
9.235879507E1,1.081555843E0,-1.435693540E-2,-9.394221306E0
9.236090586E1,1.076770186E0,-9.571290575E-3,-9.379864693E0
9.236301664E1,1.081555843E0,-1.435693540E-2,-9.399007797E0
9.236512736E1,1.081555843E0,-4.785645287E-3,-9.375079155E0
9.236723815E1,1.067198873E0,-9.571290575E-3,-9.360722542E0
9.236934893E1,1.071984529E0,-4.785645287E-3,-9.332008362E0
9.237145971E1,1.067198873E0,-4.785645287E-3,-9.341579437E0
9.237357044E1,1.071984529E0,-4.785645287E-3,-9.365508080E0
9.237568122E1,1.057627559E0,-4.785645287E-3,-9.370293617E0
9.237779200E1,1.095912814E0,4.785645287E-3,-9.365508080E0
9.237990278E1,1.071984529E0,-1.435693540E-2,-9.360722542E0
9.238201351E1,1.071984529E0,0.000000000E0,-9.379864693E0
9.238412429E1,1.062413216E0,-2.392822690E-2,-9.389435768E0
9.238623507E1,1.076770186E0,-1.914258115E-2,-9.418149948E0
9.238834586E1,1.076770186E0,-1.914258115E-2,-9.432506561E0
9.239045664E1,1.086341500E0,-1.435693540E-2,-9.446864128E0
9.239256736E1,1.081555843E0,-4.785645287E-3,-9.456435204E0
9.239467815E1,1.086341500E0,0.000000000E0,-9.475577354E0
9.239678893E1,1.076770186E0,-4.785645287E-3,-9.523433685E0
9.239889971E1,1.091127157E0,-4.785645287E-3,-9.509077072E0
9.240101044E1,1.100698471E0,9.571290575E-3,-9.533005714E0
9.240312122E1,1.091127157E0,0.000000000E0,-9.523433685E0
9.240523200E1,1.095912814E0,-1.435693540E-2,-9.542576790E0
9.240734278E1,1.100698471E0,-9.571290575E-3,-9.533005714E0
9.240945351E1,1.095912814E0,-9.571290575E-3,-9.528220177E0
9.241156429E1,1.100698471E0,4.785645287E-3,-9.499505997E0
9.241367507E1,1.105484009E0,9.571290575E-3,-9.513862610E0
9.241578586E1,1.086341500E0,-4.785645287E-3,-9.494720459E0
9.241789664E1,1.086341500E0,-4.785645287E-3,-9.480362892E0
9.242000736E1,1.081555843E0,1.435693540E-2,-9.446864128E0
9.242211815E1,1.076770186E0,1.435693540E-2,-9.456435204E0
9.242422893E1,1.091127157E0,-1.435693540E-2,-9.437292099E0
9.242633966E1,1.081555843E0,2.871387079E-2,-9.442078590E0
9.242845044E1,1.076770186E0,9.571290575E-3,-9.437292099E0
9.243056122E1,1.086341500E0,1.914258115E-2,-9.427721024E0
9.243267200E1,1.086341500E0,9.571290575E-3,-9.461220741E0
9.243478273E1,1.091127157E0,1.435693540E-2,-9.456435204E0
9.243689351E1,1.095912814E0,0.000000000E0,-9.470791817E0
9.243900429E1,1.091127157E0,0.000000000E0,-9.461220741E0
9.244111507E1,1.086341500E0,2.392822690E-2,-9.461220741E0
9.244322580E1,1.091127157E0,2.392822690E-2,-9.480362892E0
9.244533658E1,1.105484009E0,9.571290575E-3,-9.499505997E0
9.244744736E1,1.105484009E0,1.435693540E-2,-9.499505997E0
9.244955815E1,1.100698471E0,1.435693540E-2,-9.509077072E0
9.245166893E1,1.086341500E0,9.571290575E-3,-9.552147865E0
9.245377966E1,1.086341500E0,9.571290575E-3,-9.556933403E0
9.245589044E1,1.100698471E0,9.571290575E-3,-9.552147865E0
9.245800122E1,1.105484009E0,1.435693540E-2,-9.556933403E0
9.246011200E1,1.095912814E0,3.828516230E-2,-9.566504478E0
9.246222273E1,1.110269666E0,3.349951655E-2,-9.585647583E0
9.246433351E1,1.100698471E0,1.435693540E-2,-9.595218658E0
9.246644429E1,1.100698471E0,1.914258115E-2,-9.590433121E0
9.246855507E1,1.091127157E0,3.349951655E-2,-9.609575272E0
9.247066580E1,1.100698471E0,1.914258115E-2,-9.600004196E0
9.247277658E1,1.105484009E0,1.435693540E-2,-9.585647583E0
9.247488736E1,1.100698471E0,2.871387079E-2,-9.590433121E0
9.247699815E1,1.105484009E0,3.828516230E-2,-9.604789734E0
9.247910888E1,1.091127157E0,2.871387079E-2,-9.600004196E0
9.248121966E1,1.091127157E0,2.392822690E-2,-9.609575272E0
9.248333044E1,1.086341500E0,2.392822690E-2,-9.614361763E0
9.248544122E1,1.081555843E0,2.871387079E-2,-9.614361763E0
9.248755195E1,1.086341500E0,3.828516230E-2,-9.614361763E0
9.248966273E1,1.086341500E0,2.871387079E-2,-9.600004196E0
9.249177351E1,1.095912814E0,2.392822690E-2,-9.609575272E0
9.249388429E1,1.095912814E0,2.392822690E-2,-9.604789734E0
9.249599502E1,1.100698471E0,3.349951655E-2,-9.619147301E0
9.249810580E1,1.091127157E0,2.871387079E-2,-9.590433121E0
9.250021658E1,1.105484009E0,3.828516230E-2,-9.619147301E0
9.250232736E1,1.100698471E0,2.871387079E-2,-9.604789734E0
9.250443809E1,1.086341500E0,2.871387079E-2,-9.590433121E0
9.250654888E1,1.091127157E0,3.828516230E-2,-9.600004196E0
