"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.121812650E-1,-1.450803876E-2,-1.308777779E-1,4.474584386E-2
5.142920460E-1,-1.206457894E-2,-1.235474050E-1,4.108065739E-2
5.164028280E-1,-1.328630932E-2,-1.101083755E-1,3.741546720E-2
5.185136090E-1,-1.084284950E-2,-9.789107740E-2,3.497200832E-2
5.206243900E-1,-8.399390616E-3,-8.567378670E-2,3.252854943E-2
5.227351710E-1,-4.734201822E-3,-6.979130208E-2,2.764163166E-2
5.248459530E-1,-2.290742937E-3,-5.268708616E-2,2.519817278E-2
5.269567340E-1,1.374445739E-3,-3.436114267E-2,2.031125315E-2
5.290675150E-1,1.374445739E-3,-1.481347065E-2,1.542433538E-2
5.311782960E-1,5.039634649E-3,5.955931731E-3,1.175914705E-2
5.332890780E-1,8.704823442E-3,2.672533318E-2,8.093958721E-3
5.353998590E-1,1.114828233E-2,4.993819445E-2,7.635809598E-4
5.375106400E-1,1.237001177E-2,6.948586553E-2,-2.901607659E-3
5.396214210E-1,1.114828233E-2,9.269873053E-2,-9.010255337E-3
5.417322030E-1,1.359174121E-2,1.146898642E-1,-1.511890348E-2
5.438429840E-1,1.359174121E-2,1.354592592E-1,-2.244928107E-2
5.459537650E-1,1.481347065E-2,1.586721241E-1,-2.855792828E-2
5.480645460E-1,1.481347065E-2,1.806632578E-1,-3.466657549E-2
5.501753280E-1,1.725693047E-2,2.014326602E-1,-4.077522457E-2
5.522861090E-1,1.970038936E-2,2.197586000E-1,-4.810560122E-2
5.543968900E-1,2.214384824E-2,2.405280024E-1,-5.421425030E-2
5.565076710E-1,2.214384824E-2,2.588539422E-1,-6.154462695E-2
5.586184530E-1,2.336557768E-2,2.771798968E-1,-7.009673119E-2
5.607292340E-1,2.703076601E-2,2.967275679E-1,-7.620538026E-2
5.628399630E-1,2.947422490E-2,3.138317764E-1,-8.353576064E-2
5.649507440E-1,3.069595434E-2,3.321577311E-1,-9.086613357E-2
5.670615260E-1,3.558287397E-2,3.492619395E-1,-9.819651395E-2
5.691723070E-1,3.436114267E-2,3.614792228E-1,-1.043051630E-1
5.712830880E-1,4.046979174E-2,3.749182522E-1,-1.128572673E-1
5.733938690E-1,4.169152305E-2,3.859138191E-1,-1.189659163E-1
5.755046510E-1,4.413498193E-2,3.932442069E-1,-1.275180280E-1
5.776154320E-1,4.657844082E-2,3.993528485E-1,-1.360701323E-1
5.797262130E-1,4.657844082E-2,4.017963111E-1,-1.434005052E-1
5.818369940E-1,4.780016840E-2,4.030180275E-1,-1.507308781E-1
5.839477760E-1,4.657844082E-2,4.017963111E-1,-1.580612659E-1
5.860585570E-1,4.780016840E-2,3.969093859E-1,-1.666133702E-1
5.881693380E-1,4.780016840E-2,3.883572817E-1,-1.739437431E-1
5.902801190E-1,4.657844082E-2,3.736965358E-1,-1.824958473E-1
5.923909010E-1,4.535670951E-2,3.578140438E-1,-1.910479665E-1
5.945016820E-1,4.535670951E-2,3.394880891E-1,-1.983783394E-1
5.966124630E-1,4.535670951E-2,3.174969554E-1,-2.044869810E-1
5.987232440E-1,4.169152305E-2,2.979492843E-1,-2.130390853E-1
6.008340260E-1,4.169152305E-2,2.771798968E-1,-2.191477418E-1
6.029448070E-1,4.291325063E-2,2.576322258E-1,-2.252563834E-1
6.050555880E-1,4.657844082E-2,2.393062711E-1,-2.325867712E-1
6.071663690E-1,4.657844082E-2,2.197586000E-1,-2.386954129E-1
6.092770980E-1,4.780016840E-2,2.014326602E-1,-2.448040545E-1
6.113879320E-1,5.024362728E-2,1.831067204E-1,-2.509126961E-1
6.134986610E-1,4.902189970E-2,1.660024971E-1,-2.570213675E-1
6.156094420E-1,4.902189970E-2,1.488982886E-1,-2.619082630E-1
6.177202230E-1,4.902189970E-2,1.317940801E-1,-2.692386508E-1
6.198310050E-1,5.146535859E-2,1.110246703E-1,-2.753472924E-1
6.219417860E-1,5.146535859E-2,9.147699922E-2,-2.790125012E-1
6.240525670E-1,4.780016840E-2,7.315105945E-2,-2.851211429E-1
6.261633480E-1,4.780016840E-2,5.115992576E-2,-2.900080681E-1
6.282741300E-1,4.413498193E-2,3.161225095E-2,-2.948949635E-1
6.303849110E-1,4.291325063E-2,8.399390616E-3,-2.997818887E-1
6.324956920E-1,4.046979174E-2,-1.359174121E-2,-3.034470677E-1
6.346064730E-1,3.924806044E-2,-3.680460155E-2,-3.083339930E-1
6.367172550E-1,3.924806044E-2,-5.757400393E-2,-3.119991720E-1
6.388280360E-1,3.680460155E-2,-8.078686893E-2,-3.168860972E-1
6.409388170E-1,3.680460155E-2,-1.015562713E-1,-3.217730224E-1
