"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.065306526E0,-4.768614769E-1,9.953081608E-4,-1.259870529E-1
1.070306526E0,-4.985666275E-1,3.475098312E-2,-9.611988068E-2
1.075306526E0,-4.623878002E-1,5.569677055E-2,-3.143310547E-2
1.080306526E0,-3.868055344E-1,7.766962051E-2,-9.973526001E-3
1.085306526E0,-3.199033737E-1,7.860268652E-2,7.514953613E-4
1.090306526E0,-2.508125305E-1,9.873770177E-2,3.796577454E-3
1.095306526E0,-2.238206863E-1,1.245533079E-1,4.715442657E-2
1.100306526E0,-1.790375710E-1,1.438593268E-1,7.613563538E-2
1.105306526E0,-1.675596237E-1,1.692904532E-1,6.819057465E-2
1.110306526E0,-1.357655525E-1,2.016762346E-1,5.677318573E-2
1.115306526E0,-1.226849556E-1,2.185075879E-1,5.484485626E-2
1.120306526E0,-1.128053665E-1,2.468260974E-1,6.845474243E-2
1.125306526E0,-1.245532036E-1,2.768397033E-1,6.731224060E-2
1.130306526E0,-1.423182487E-1,2.759267092E-1,1.010122299E-1
1.135306526E0,-1.396408081E-1,3.025611043E-1,1.048135757E-1
1.140306526E0,-1.054306030E-1,3.156439662E-1,1.021537781E-1
1.145306526E0,-4.965782166E-2,3.196107149E-1,6.025409698E-2
1.150306526E0,6.827354431E-3,2.937363982E-1,-6.943702698E-3
1.155306526E0,5.888986588E-2,2.577686310E-1,-8.388900757E-2
1.160306526E0,7.871294022E-2,2.041212916E-1,-1.272697449E-1
1.165306526E0,8.315038681E-2,1.508747339E-1,-1.523847580E-1
1.170306526E0,8.975553513E-2,9.115296602E-2,-1.320858002E-1
1.175306526E0,8.374881744E-2,4.534807801E-2,-9.620285034E-2
1.180306526E0,7.285213470E-2,-1.117497683E-2,-4.853916168E-2
1.185306526E0,8.170795441E-2,-8.306264877E-2,-9.069442749E-4
1.190306526E0,6.812405586E-2,-1.482178569E-1,1.793956757E-2
1.195306526E0,7.958889008E-2,-2.073705196E-1,3.047752380E-2
1.200306526E0,7.208943367E-2,-2.672078609E-1,-1.499557495E-2
1.205306526E0,5.774664879E-2,-3.245159388E-1,-6.223869324E-2
1.210306526E0,3.282546997E-2,-3.516973257E-1,-9.797763824E-2
1.215306526E0,2.204179764E-3,-3.773235083E-1,-1.037778854E-1
1.220306526E0,-5.217170715E-2,-3.964372873E-1,-7.622051239E-2
1.225306526E0,-7.939577103E-2,-4.247496724E-1,-5.745506287E-2
1.230306526E0,-1.069645882E-1,-4.532269835E-1,-3.498744965E-2
1.235306526E0,-9.668612480E-2,-4.817414880E-1,-2.618503571E-2
1.240306526E0,-8.826589584E-2,-5.225662589E-1,-4.226875305E-2
1.245306526E0,-9.259319305E-2,-5.508614779E-1,-4.451942444E-2
1.250306526E0,-9.318423271E-2,-5.585469604E-1,-3.934955597E-2
1.255306526E0,-9.616971016E-2,-5.469806790E-1,-2.289772034E-3
