"Frequency[kHz]","Channel[dBu]"
30.37452698,-51.10838000
30.42221069,-56.27692000
30.46989441,-82.89685000
30.51757813,-61.12565000
30.56526184,-59.71317000
30.61294556,-59.45086000
30.66062927,-61.40242000
30.70831299,-65.09780000
30.75599670,-61.13062000
30.80368042,-64.97643000
30.85136414,-59.07268000
30.89904785,-57.93639000
30.94673157,-60.03003000
30.99441528,-65.76699000
31.04209900,-66.17427000
31.08978271,-61.52065000
31.13746643,-57.85939000
31.18515015,-63.06608000
31.23283386,-59.93280000
31.28051758,-56.36414000
31.32820129,-56.56549000
31.37588501,-56.59756000
31.42356873,-56.57960000
31.47125244,-54.80637000
31.51893616,-57.82437000
31.56661987,-65.38176000
31.61430359,-55.31367000
31.66198730,-50.59336000
31.70967102,-53.39344000
31.75735474,-68.83422000
31.80503845,-66.90333000
31.85272217,-63.03547000
31.90040588,-53.58862000
31.94808960,-60.69402000
31.99577332,-57.07558000
32.04345703,-53.98816000
32.09114075,-59.35812000
32.13882446,-56.30698000
32.18650818,-51.32788000
32.23419189,-52.60719000
32.28187561,-58.52009000
32.32955933,-59.03337000
32.37724304,-60.68832000
32.42492676,-56.84868000
32.47261047,-56.51043000
32.52029419,-57.32151000
32.56797791,-65.76278000
32.61566162,-63.21395000
32.66334534,-52.84395000
32.71102905,-52.30551000
32.75871277,-60.89740000
32.80639648,-61.31710000
32.85408020,-61.01116000
32.90176392,-64.02283000
32.94944763,-56.55132000
32.99713135,-54.98776000
33.04481506,-62.67677000
33.09249878,-63.15979000
33.14018250,-60.67736000
33.18786621,-59.82367000
33.23554993,-53.56487000
33.28323364,-53.18881000
33.33091736,-66.43876000
33.37860107,-63.72561000
33.42628479,-60.64993000
33.47396851,-57.45195000
33.52165222,-58.51166000
33.56933594,-57.38081000
33.61701965,-56.06701000
33.66470337,-54.89079000
33.71238708,-56.82226000
33.76007080,-54.34481000
33.80775452,-54.16182000
33.85543823,-62.93378000
33.90312195,-57.96045000
33.95080566,-51.34470000
33.99848938,-53.01094000
34.04617310,-69.71140000
34.09385681,-56.43719000
34.14154053,-61.22487000
34.18922424,-60.90054000
34.23690796,-58.18389000
34.28459167,-60.61851000
34.33227539,-58.40856000
34.37995911,-55.05202000
34.42764282,-53.97965000
34.47532654,-58.64464000
34.52301025,-69.75955000
34.57069397,-60.57406000
34.61837769,-54.46146000
34.66606140,-54.74578000
34.71374512,-72.34788000
34.76142883,-58.17943000
34.80911255,-56.88583000
34.85679626,-59.05754000
34.90447998,-60.44656000
34.95216370,-56.66695000
34.99984741,-61.52140000
35.04753113,-60.31320000
35.09521484,-57.71893000
35.14289856,-56.34461000
35.19058228,-53.38482000
35.23826599,-55.62925000
35.28594971,-62.43698000
35.33363342,-63.28647000
35.38131714,-58.81220000
35.42900085,-60.13129000
35.47668457,-60.07416000
35.52436829,-63.59465000
35.57205200,-59.27453000
35.61973572,-52.73519000
35.66741943,-54.69807000
35.71510315,-54.77650000
35.76278687,-54.94397000
35.81047058,-57.35944000
35.85815430,-58.79996000
35.90583801,-66.42529000
35.95352173,-53.70591000
36.00120544,-53.14410000
36.04888916,-56.04227000
36.09657288,-55.22717000
36.14425659,-53.30860000
36.19194031,-59.43060000
36.23962402,-57.68274000
36.28730774,-63.01456000
36.33499146,-60.67261000
36.38267517,-60.11713000
36.43035889,-55.47537000
36.47804260,-53.14977000
36.52572632,-55.83954000
36.57341003,-63.36878000
36.62109375,-65.31453000
36.66877747,-59.56437000
