"Frequency[kHz]","Channel[dBu]"
47.15919495,-59.93720000
47.20687866,-61.11496000
47.25456238,-56.17694000
47.30224609,-53.57812000
47.34992981,-63.60315000
47.39761353,-52.00925000
47.44529724,-52.00611000
47.49298096,-60.71030000
47.54066467,-60.73117000
47.58834839,-63.36346000
47.63603210,-56.10415000
47.68371582,-53.23360000
47.73139954,-52.69672000
47.77908325,-63.94131000
47.82676697,-55.22427000
47.87445068,-52.86958000
47.92213440,-54.75847000
47.96981812,-52.46491000
48.01750183,-51.84084000
48.06518555,-52.80502000
48.11286926,-50.57224000
48.16055298,-50.59917000
48.20823669,-54.39635000
48.25592041,-55.70188000
48.30360413,-55.93629000
48.35128784,-55.53245000
48.39897156,-56.68713000
48.44665527,-53.47795000
48.49433899,-51.88212000
48.54202271,-55.77072000
48.58970642,-67.64866000
48.63739014,-60.20415000
48.68507385,-64.05862000
48.73275757,-58.08778000
48.78044128,-58.67205000
48.82812500,-55.57555000
48.87580872,-51.79053000
48.92349243,-53.09516000
48.97117615,-56.93022000
49.01885986,-55.89687000
49.06654358,-54.75106000
49.11422729,-52.96262000
49.16191101,-54.43468000
49.20959473,-63.24821000
49.25727844,-54.86919000
49.30496216,-54.79702000
49.35264587,-58.41964000
49.40032959,-57.66037000
49.44801331,-56.83584000
49.49569702,-60.00513000
49.54338074,-55.87999000
49.59106445,-78.91574000
49.63874817,-57.06969000
49.68643188,-53.86855000
49.73411560,-51.66763000
49.78179932,-49.75662000
49.82948303,-51.13484000
49.87716675,-53.49526000
49.92485046,-55.16654000
49.97253418,-61.55460000
50.02021790,-60.48103000
50.06790161,-57.20543000
50.11558533,-56.33398000
50.16326904,-58.12925000
50.21095276,-62.34431000
50.25863647,-56.79174000
50.30632019,-55.19287000
50.35400391,-51.00389000
50.40168762,-58.07322000
50.44937134,-54.50264000
50.49705505,-52.50784000
50.54473877,-57.69188000
50.59242249,-57.72996000
50.64010620,-59.29351000
50.68778992,-58.57410000
50.73547363,-54.59396000
50.78315735,-53.36554000
50.83084106,-54.10471000
50.87852478,-51.04796000
50.92620850,-48.81111000
50.97389221,-50.05949000
