"Time[ms]","Channel[V]"
0.91786098,4.56679000
0.92042098,4.56679000
0.92298098,4.74318700
0.92554098,4.74318700
0.92810098,4.91958400
0.93066098,5.09537000
0.93322098,5.09537000
0.93578098,5.27176700
0.93834098,5.27176700
0.94090098,5.27176700
0.94346098,5.27176700
0.94602098,5.44816400
0.94858098,5.44816400
0.95114098,5.62456100
0.95370098,5.62456100
0.95626098,5.80034800
0.95882098,5.80034800
0.96138098,5.80034800
0.96394098,5.80034800
0.96650098,5.97674500
0.96906098,5.97674500
0.97162098,5.97674500
0.97418098,5.97674500
0.97674098,5.97674500
0.97930098,5.97674500
0.98186098,5.97674500
0.98442098,5.97674500
0.98698098,5.97674500
0.98954098,5.97674500
0.99210098,6.15314200
0.99466098,5.97674500
0.99722098,5.97674500
0.99978098,5.97674500
1.00234098,5.97674500
1.00490098,5.97674500
1.00746098,5.97674500
1.01002098,5.97674500
1.01258098,5.80034800
1.01514098,5.80034800
1.01770098,5.80034800
1.02026098,5.80034800
1.02282098,5.80034800
1.02538098,5.62456100
1.02794098,5.62456100
1.03050098,5.44816400
1.03306098,5.44816400
1.03562098,5.27176700
1.03818098,5.27176700
1.04074098,5.27176700
1.04330098,5.09537000
1.04586098,5.09537000
1.04842098,5.09537000
1.05098098,4.74318700
1.05354098,4.74318700
1.05610098,4.56679000
1.05866098,4.56679000
1.06122098,4.39039300
1.06378098,4.21460600
1.06634098,4.21460600
1.06890098,4.03820900
1.07146098,4.03820900
1.07402098,3.86181200
1.07658098,3.68541500
1.07914098,3.68541500
1.08170098,3.50962900
1.08426098,3.33323200
1.08682098,3.15683500
1.08938098,3.15683500
1.09194098,2.98043800
1.09450098,2.62825400
1.09706098,2.62825400
1.09962098,2.45185700
1.10218098,2.45185700
1.10474098,2.27546000
1.10730098,2.09967400
1.10986098,1.92327600
1.11242098,1.74687900
1.11498098,1.57048200
1.11754098,1.39469600
1.12010098,1.39469600
1.12266098,1.21829900
1.12522098,1.04190200
1.12778098,0.86550490
1.13034098,0.68971830
1.13290098,0.51332130
1.13546098,0.33692430
1.13802098,0.33692430
1.14058098,-0.01525925
1.14314098,-0.19104590
1.14570098,-0.36744280
1.14826098,-0.36744280
1.15082098,-0.54383980
1.15338098,-0.72023680
1.15594098,-0.89602350
1.15850098,-1.07242000
1.16106098,-1.07242000
1.16362098,-1.24881700
1.16618098,-1.60100100
1.16874098,-1.60100100
1.17130098,-1.77739800
1.17386098,-1.95379500
1.17642098,-1.95379500
1.17898098,-2.13019200
1.18154098,-2.30597900
1.18410098,-2.48237600
1.18666098,-2.48237600
1.18922098,-2.65877200
1.19178098,-2.83517000
1.19434098,-3.01095600
1.19690098,-3.18735300
1.19946098,-3.18735300
1.20202098,-3.36375000
1.20458098,-3.54014700
1.20714098,-3.54014700
1.20970098,-3.71593400
1.21226098,-3.71593400
1.21482098,-3.89233100
1.21738098,-3.89233100
1.21994098,-4.06872700
1.22250098,-4.06872700
1.22506098,-4.24512500
1.22762098,-4.42091100
1.23018098,-4.42091100
1.23274098,-4.59730800
1.23530098,-4.59730800
1.23786098,-4.59730800
1.24042098,-4.77370500
1.24298098,-4.95010200
1.24554098,-4.95010200
1.24810098,-4.95010200
1.25066098,-5.12588900
1.25322098,-5.12588900
1.25578098,-5.12588900
1.25834098,-5.12588900
1.26090098,-5.12588900
1.26346098,-5.30228600
1.26602098,-5.30228600
1.26858098,-5.30228600
1.27114098,-5.30228600
1.27370098,-5.30228600
1.27626098,-5.30228600
1.27882098,-5.30228600
1.28138098,-5.47868300
1.28394098,-5.30228600
1.28650098,-5.47868300
1.28906098,-5.47868300
1.29162098,-5.30228600
1.29418098,-5.30228600
1.29674098,-5.30228600
1.29930098,-5.30228600
1.30186098,-5.30228600
1.30442098,-5.30228600
1.30698098,-5.30228600
1.30954098,-5.30228600
1.31210098,-5.30228600
1.31466098,-5.12588900
1.31722098,-5.12588900
1.31978098,-5.12588900
1.32234098,-5.12588900
1.32490098,-4.95010200
1.32746098,-4.95010200
1.33002098,-4.77370500
1.33258098,-4.77370500
1.33514098,-4.77370500
1.33770098,-4.77370500
1.34026098,-4.59730800
1.34282098,-4.42091100
1.34538098,-4.42091100
1.34794098,-4.42091100
1.35050098,-4.24512500
1.35306098,-4.06872700
1.35562098,-4.06872700
1.35818098,-3.89233100
1.36074098,-3.89233100
1.36330098,-3.89233100
1.36586098,-3.71593400
1.36842098,-3.54014700
1.37098098,-3.36375000
1.37354098,-3.36375000
1.37610098,-3.36375000
1.37866098,-3.18735300
1.38122098,-3.18735300
1.38378098,-3.01095600
1.38634098,-2.83517000
1.38890098,-2.65877200
1.39146098,-2.65877200
1.39402098,-2.48237600
1.39658098,-2.30597900
1.39914098,-2.30597900
1.40170098,-2.13019200
1.40426098,-1.95379500
1.40682098,-1.77739800
1.40938098,-1.77739800
1.41194098,-1.60100100
1.41450098,-1.60100100
1.41706098,-1.42521400
1.41962098,-1.24881700
1.42218098,-1.07242000
1.42474098,-0.89602350
1.42730098,-0.72023680
1.42986098,-0.72023680
1.43242098,-0.54383980
1.43498098,-0.54383980
1.43754098,-0.19104590
1.44010098,-0.19104590
1.44266098,-0.01525925
1.44522098,0.16052740
1.44778098,0.16052740
1.45034098,0.33692430
1.45290098,0.51332130
1.45546098,0.51332130
1.45802098,0.86550490
1.46058098,0.86550490
1.46314098,1.04190200
1.46570098,1.04190200
1.46826098,1.21829900
1.47082098,1.39469600
1.47338098,1.39469600
1.47594098,1.57048200
1.47850098,1.74687900
1.48106098,1.74687900
1.48362098,1.92327600
1.48618098,1.92327600
1.48874098,2.09967400
1.49130098,2.27546000
1.49386098,2.27546000
1.49642098,2.45185700
1.49898098,2.45185700
1.50154098,2.62825400
1.50410098,2.80465100
1.50666098,2.80465100
1.50922098,2.98043800
1.51178098,2.98043800
1.51434098,3.15683500
1.51690098,3.15683500
1.51946098,3.15683500
1.52202098,3.33323200
1.52458098,3.33323200
1.52714098,3.50962900
1.52970098,3.50962900
1.53226098,3.68541500
1.53482098,3.68541500
1.53738098,3.68541500
1.53994098,3.68541500
1.54250098,3.86181200
1.54506098,3.86181200
1.54762098,3.86181200
1.55018098,3.86181200
1.55274098,3.86181200
1.55530098,4.03820900
1.55786098,4.03820900
1.56042098,4.03820900
1.56298098,4.03820900
1.56554098,4.03820900
1.56810098,4.03820900
1.57066098,4.03820900
1.57322098,4.21460600
1.57578098,4.21460600
1.57834098,4.21460600
1.58090098,4.21460600
1.58346098,4.21460600
1.58602098,4.03820900
1.58858098,4.21460600
1.59114098,4.21460600
1.59370098,4.03820900
1.59626098,4.03820900
1.59882098,4.03820900
1.60138098,4.03820900
1.60394098,4.03820900
1.60650098,4.03820900
1.60906098,4.03820900
1.61162098,4.03820900
1.61418098,4.03820900
1.61674098,4.03820900
1.61930098,3.86181200
1.62186098,3.86181200
1.62442098,3.86181200
1.62698098,3.68541500
1.62954098,3.68541500
1.63210098,3.68541500
1.63466098,3.68541500
1.63722098,3.50962900
1.63978098,3.50962900
1.64234098,3.33323200
1.64490098,3.33323200
1.64746098,3.33323200
1.65002098,3.15683500
1.65258098,3.15683500
1.65514098,3.15683500
1.65770098,2.98043800
1.66026098,2.98043800
1.66282098,2.98043800
1.66538098,2.80465100
1.66794098,2.62825400
1.67050098,2.62825400
1.67306098,2.45185700
1.67562098,2.45185700
1.67818098,2.45185700
1.68074098,2.27546000
1.68330098,2.27546000
1.68586098,2.09967400
1.68842098,1.92327600
1.69098098,1.92327600
1.69354098,1.92327600
1.69610098,1.74687900
1.69866098,1.74687900
1.70122098,1.57048200
1.70378098,1.39469600
1.70634098,1.39469600
1.70890098,1.21829900
1.71146098,1.21829900
1.71402098,1.04190200
1.71658098,0.86550490
1.71914098,0.86550490
1.72170098,0.86550490
1.72426098,0.68971830
1.72682098,0.51332130
1.72938098,0.51332130
1.73194098,0.51332130
1.73450098,0.33692430
1.73706098,0.33692430
1.73962098,0.16052740
1.74218098,0.16052740
1.74474098,-0.01525925
1.74730098,-0.19104590
1.74986098,-0.19104590
1.75242098,-0.36744280
1.75498098,-0.36744280
1.75754098,-0.54383980
1.76010098,-0.54383980
1.76266098,-0.54383980
1.76522098,-0.72023680
1.76778098,-0.89602350
1.77034098,-0.89602350
1.77290098,-1.07242000
1.77546098,-1.07242000
1.77802098,-1.07242000
1.78058098,-1.24881700
1.78314098,-1.24881700
1.78570098,-1.42521400
1.78826098,-1.42521400
1.79082098,-1.60100100
1.79338098,-1.60100100
1.79594098,-1.77739800
1.79850098,-1.77739800
1.80106098,-1.77739800
1.80362098,-1.77739800
1.80618098,-1.95379500
1.80874098,-1.95379500
1.81130098,-1.95379500
1.81386098,-1.95379500
1.81642098,-2.13019200
1.81898098,-2.13019200
1.82154098,-2.30597900
1.82410098,-2.13019200
1.82666098,-2.30597900
1.82922098,-2.30597900
1.83178098,-2.48237600
1.83434098,-2.48237600
1.83690098,-2.48237600
1.83946098,-2.48237600
1.84202098,-2.48237600
1.84458098,-2.48237600
1.84714098,-2.48237600
1.84970098,-2.48237600
1.85226098,-2.48237600
1.85482098,-2.48237600
1.85738098,-2.65877200
1.85994098,-2.65877200
1.86250098,-2.65877200
1.86506098,-2.48237600
1.86762098,-2.65877200
1.87018098,-2.65877200
1.87274098,-2.65877200
1.87530098,-2.65877200
1.87786098,-2.65877200
1.88042098,-2.48237600
1.88298098,-2.48237600
1.88554098,-2.48237600
1.88810098,-2.48237600
1.89066098,-2.48237600
1.89322098,-2.48237600
1.89578098,-2.48237600
1.89834098,-2.48237600
1.90090097,-2.48237600
1.90346097,-2.48237600
1.90602097,-2.48237600
1.90858097,-2.30597900
1.91114097,-2.48237600
1.91370097,-2.30597900
1.91626097,-2.30597900
1.91882097,-2.30597900
1.92138097,-2.13019200
1.92394097,-2.30597900
1.92650097,-2.13019200
1.92906097,-1.95379500
1.93162097,-2.13019200
1.93418097,-1.95379500
1.93674097,-1.95379500
1.93930097,-1.95379500
1.94186097,-1.77739800
1.94442097,-1.77739800
1.94698097,-1.77739800
1.94954097,-1.77739800
1.95210097,-1.77739800
1.95466097,-1.60100100
1.95722097,-1.60100100
1.95978097,-1.60100100
1.96234097,-1.60100100
1.96490097,-1.42521400
1.96746097,-1.42521400
1.97002097,-1.24881700
1.97258097,-1.24881700
1.97514097,-1.24881700
1.97770097,-1.07242000
1.98026097,-1.07242000
1.98282097,-1.07242000
1.98538097,-0.89602350
1.98794097,-0.89602350
1.99050097,-0.89602350
1.99306097,-0.72023680
1.99562097,-0.72023680
1.99818097,-0.72023680
2.00074097,-0.54383980
2.00330097,-0.54383980
2.00586097,-0.54383980
2.00842097,-0.36744280
2.01098097,-0.36744280
2.01354097,-0.36744280
2.01610097,-0.19104590
2.01866097,-0.19104590
2.02122097,-0.19104590
2.02378097,-0.01525925
2.02634097,-0.01525925
2.02890097,0.16052740
2.03146097,0.16052740
2.03402097,0.16052740
2.03658097,0.33692430
2.03914097,0.33692430
2.04170097,0.33692430
2.04426097,0.33692430
2.04682097,0.51332130
2.04938097,0.51332130
2.05194097,0.51332130
2.05450097,0.51332130
2.05706097,0.51332130
2.05962097,0.51332130
2.06218097,0.51332130
2.06474097,0.68971830
2.06730097,0.68971830
2.06986097,0.68971830
2.07242097,0.86550490
2.07498097,0.86550490
2.07754097,0.86550490
2.08010097,0.86550490
2.08266097,1.04190200
2.08522097,1.04190200
2.08778097,1.04190200
2.09034097,1.21829900
2.09290097,1.04190200
2.09546097,1.21829900
2.09802097,1.04190200
2.10058097,1.21829900
2.10314097,1.21829900
2.10570097,1.21829900
2.10826097,1.21829900
2.11082097,1.21829900
2.11338097,1.21829900
2.11594097,1.21829900
2.11850097,1.21829900
2.12106097,1.21829900
2.12362097,1.21829900
2.12618097,1.21829900
2.12874097,1.21829900
2.13130097,1.21829900
2.13386097,1.21829900
2.13642097,1.21829900
2.13898097,1.21829900
2.14154097,1.21829900
2.14410097,1.21829900
2.14666097,1.21829900
2.14922097,1.21829900
2.15178097,1.21829900
2.15434097,1.21829900
2.15690097,1.21829900
2.15946097,1.21829900
2.16202097,1.21829900
2.16458097,1.21829900
2.16714097,1.21829900
2.16970097,1.21829900
2.17226097,1.04190200
2.17482097,1.04190200
2.17738097,1.04190200
2.17994097,1.04190200
2.18250097,1.04190200
