"Frequency[kHz]","Channel A[dBu]"
39.95895386,-60.11489000
40.00663757,-58.04308000
40.05432129,-59.18602000
40.10200500,-61.99419000
40.14968872,-65.48497000
40.19737244,-66.13786000
40.24505615,-59.65525000
40.29273987,-60.88916000
40.34042358,-55.94016000
40.38810730,-55.04985000
40.43579102,-64.82677000
40.48347473,-67.72778000
40.53115845,-60.86732000
40.57884216,-61.17182000
40.62652588,-56.34560000
40.67420959,-62.92124000
40.72189331,-68.54124000
40.76957703,-68.94449000
40.81726074,-55.08951000
40.86494446,-57.97961000
40.91262817,-60.44203000
40.96031189,-62.99570000
41.00799561,-75.94537000
41.05567932,-63.88666000
41.10336304,-58.76519000
41.15104675,-63.22858000
41.19873047,-67.29873000
41.24641418,-70.52278000
41.29409790,-65.19170000
41.34178162,-59.32695000
41.38946533,-71.88495000
41.43714905,-57.68562000
41.48483276,-55.99557000
41.53251648,-55.24571000
41.58020020,-54.93854000
41.62788391,-57.30574000
41.67556763,-53.86908000
41.72325134,-54.53231000
41.77093506,-62.76911000
41.81861877,-64.71301000
41.86630249,-60.80434000
41.91398621,-66.06946000
41.96166992,-71.22163000
42.00935364,-60.69971000
42.05703735,-61.47437000
42.10472107,-73.36222000
42.15240479,-61.13171000
42.20008850,-61.69076000
42.24777222,-63.55115000
42.29545593,-54.90404000
42.34313965,-52.91786000
42.39082336,-51.14864000
42.43850708,-55.25407000
42.48619080,-57.10600000
42.53387451,-60.28091000
42.58155823,-60.30033000
42.62924194,-61.50424000
42.67692566,-57.59516000
42.72460938,-57.85313000
42.77229309,-56.69380000
42.81997681,-60.12061000
42.86766052,-55.66946000
42.91534424,-66.05878000
42.96302795,-60.33954000
43.01071167,-61.02304000
43.05839539,-61.31573000
43.10607910,-65.19443000
43.15376282,-73.05766000
43.20144653,-58.22620000
43.24913025,-58.73987000
43.29681396,-59.38889000
43.34449768,-59.31621000
43.39218140,-68.80431000
43.43986511,-63.52036000
43.48754883,-67.03793000
43.53523254,-65.70715000
43.58291626,-73.71561000
43.63059998,-62.10221000
43.67828369,-66.19794000
43.72596741,-60.87533000
43.77365112,-65.59251000
43.82133484,-69.68180000
43.86901855,-72.32257000
43.91670227,-75.46021000
43.96438599,-65.42218000
44.01206970,-61.78891000
44.05975342,-62.42489000
44.10743713,-63.59496000
44.15512085,-65.47613000
44.20280457,-60.91158000
44.25048828,-64.67367000
44.29817200,-60.20096000
44.34585571,-66.81935000
44.39353943,-62.25808000
44.44122314,-60.44206000
44.48890686,-62.54890000
44.53659058,-61.46958000
44.58427429,-56.95488000
44.63195801,-61.12196000
44.67964172,-77.81037000
44.72732544,-61.70026000
44.77500916,-62.40281000
44.82269287,-66.15903000
44.87037659,-76.23550000
44.91806030,-63.33055000
44.96574402,-60.98312000
45.01342773,-55.39025000
45.06111145,-59.94387000
45.10879517,-62.91632000
45.15647888,-61.09367000
45.20416260,-78.34124000
45.25184631,-67.47886000
45.29953003,-66.27225000
45.34721375,-64.16869000
45.39489746,-56.50149000
45.44258118,-57.28717000
45.49026489,-60.46754000
45.53794861,-58.47927000
45.58563232,-63.67694000
45.63331604,-59.66441000
45.68099976,-59.17792000
45.72868347,-64.97397000
45.77636719,-66.84047000
45.82405090,-59.72101000
45.87173462,-57.37050000
45.91941833,-54.90910000
45.96710205,-54.54031000
46.01478577,-66.37465000
46.06246948,-65.29439000
46.11015320,-59.63559000
46.15783691,-61.95577000
46.20552063,-61.05447000
46.25320435,-67.81344000
46.30088806,-68.34922000
46.34857178,-75.34966000
46.39625549,-60.86018000
46.44393921,-59.77297000
46.49162292,-62.02615000
46.53930664,-61.43449000
46.58699036,-61.62020000
46.63467407,-58.59113000
46.68235779,-78.32854000
46.73004150,-65.08677000
46.77772522,-62.54111000
46.82540894,-63.77029000
46.87309265,-56.34556000
46.92077637,-59.08790000
46.96846008,-59.07945000
47.01614380,-54.32727000
47.06382751,-56.40479000
47.11151123,-58.21043000
47.15919495,-66.60714000
47.20687866,-63.55957000
47.25456238,-63.70022000
47.30224609,-63.27387000
47.34992981,-61.56618000
47.39761353,-63.01622000
47.44529724,-71.07336000
47.49298096,-59.85335000
47.54066467,-77.65639000
47.58834839,-60.31387000
47.63603210,-60.18112000
47.68371582,-60.28230000
47.73139954,-66.66863000
47.77908325,-66.66638000
47.82676697,-66.95586000
47.87445068,-68.37594000
47.92213440,-66.05663000
47.96981812,-61.01688000
48.01750183,-60.20672000
48.06518555,-67.81149000
48.11286926,-63.05238000
48.16055298,-59.31757000
48.20823669,-57.05196000
48.25592041,-59.75269000
48.30360413,-62.67764000
48.35128784,-58.06663000
48.39897156,-64.83048000
48.44665527,-80.45592000
48.49433899,-62.85647000
48.54202271,-56.63575000
48.58970642,-65.86554000
48.63739014,-61.61185000
48.68507385,-66.99472000
48.73275757,-63.26324000
48.78044128,-64.65350000
48.82812500,-65.17773000
48.87580872,-59.72316000
48.92349243,-57.79356000
48.97117615,-61.99884000
49.01885986,-61.21220000
49.06654358,-60.93091000
49.11422729,-62.64972000
49.16191101,-66.94842000
49.20959473,-66.28004000
49.25727844,-63.85105000
49.30496216,-67.30072000
49.35264587,-61.02039000
49.40032959,-67.09899000
49.44801331,-56.46858000
49.49569702,-56.27352000
49.54338074,-64.12279000
49.59106445,-61.68001000
49.63874817,-58.93370000
49.68643188,-63.01463000
49.73411560,-67.11749000
49.78179932,-64.77141000
49.82948303,-58.76732000
49.87716675,-57.85851000
49.92485046,-58.46091000
49.97253418,-63.72461000
50.02021790,-66.64038000
50.06790161,-64.12644000
50.11558533,-60.52916000
50.16326904,-67.13963000
50.21095276,-64.81260000
50.25863647,-63.85300000
50.30632019,-74.78235000
50.35400391,-74.93391000
50.40168762,-68.55470000
50.44937134,-71.92730000
50.49705505,-68.97141000
50.54473877,-72.19640000
50.59242249,-64.47766000
50.64010620,-66.72431000
50.68778992,-81.32022000
50.73547363,-64.61646000
50.78315735,-81.83765000
50.83084106,-66.34194000
50.87852478,-65.45474000
50.92620850,-66.99979000
50.97389221,-63.53497000
