"Frequency[kHz]","Channel A[dBu]"
36.19194031,-55.94387000
36.23962402,-59.75130000
36.28730774,-52.27371000
36.33499146,-50.40317000
36.38267517,-53.34672000
36.43035889,-68.30498000
36.47804260,-61.91810000
36.52572632,-62.19058000
36.57341003,-63.11533000
36.62109375,-64.46297000
36.66877747,-68.66229000
36.71646118,-59.15777000
36.76414490,-61.42876000
36.81182861,-53.64659000
36.85951233,-53.66962000
36.90719604,-57.81149000
36.95487976,-55.99966000
37.00256348,-62.38089000
37.05024719,-59.42989000
37.09793091,-54.57114000
37.14561462,-57.55598000
37.19329834,-67.51237000
37.24098206,-58.99211000
37.28866577,-61.17646000
37.33634949,-59.23869000
37.38403320,-59.04395000
37.43171692,-65.82211000
37.47940063,-52.60346000
37.52708435,-52.65080000
37.57476807,-61.82602000
37.62245178,-51.84750000
37.67013550,-52.49195000
37.71781921,-58.97071000
37.76550293,-58.16646000
37.81318665,-54.43913000
37.86087036,-53.27908000
37.90855408,-55.94915000
37.95623779,-59.93350000
38.00392151,-57.52287000
38.05160522,-56.08010000
38.09928894,-54.16243000
38.14697266,-53.60596000
38.19465637,-55.83026000
38.24234009,-58.95670000
38.29002380,-60.99217000
38.33770752,-64.51235000
38.38539124,-61.08360000
38.43307495,-60.94334000
38.48075867,-55.97313000
38.52844238,-51.35798000
38.57612610,-53.99071000
38.62380981,-73.89467000
38.67149353,-57.40888000
38.71917725,-73.48058000
38.76686096,-59.82958000
38.81454468,-67.21107000
38.86222839,-58.84068000
38.90991211,-62.17676000
38.95759583,-55.13321000
39.00527954,-52.30460000
39.05296326,-53.25228000
39.10064697,-66.11356000
39.14833069,-59.16692000
39.19601440,-56.78097000
39.24369812,-56.93163000
39.29138184,-53.68359000
39.33906555,-51.18872000
39.38674927,-51.96571000
39.43443298,-57.58656000
39.48211670,-53.01039000
39.52980042,-46.74504000
39.57748413,-47.16784000
39.62516785,-53.08453000
39.67285156,-64.23201000
39.72053528,-57.43700000
39.76821899,-85.17910000
39.81590271,-54.71662000
39.86358643,-51.46613000
39.91127014,-51.22042000
39.95895386,-52.39345000
40.00663757,-56.51219000
40.05432129,-55.42856000
40.10200500,-51.44491000
40.14968872,-51.95959000
40.19737244,-63.09164000
40.24505615,-56.83317000
40.29273987,-56.93125000
40.34042358,-61.97464000
40.38810730,-59.51385000
40.43579102,-63.85248000
40.48347473,-58.90296000
40.53115845,-58.30393000
40.57884216,-53.74466000
40.62652588,-52.14677000
40.67420959,-54.60489000
40.72189331,-65.71346000
40.76957703,-58.05099000
40.81726074,-53.27370000
40.86494446,-55.01505000
40.91262817,-55.56690000
40.96031189,-52.16586000
41.00799561,-53.56672000
41.05567932,-58.74855000
41.10336304,-62.04408000
41.15104675,-56.21838000
41.19873047,-52.85455000
41.24641418,-52.59477000
41.29409790,-52.84622000
41.34178162,-50.63361000
41.38946533,-50.86535000
41.43714905,-52.29062000
41.48483276,-48.76070000
41.53251648,-50.12341000
41.58020020,-59.87887000
41.62788391,-61.26168000
41.67556763,-60.10746000
41.72325134,-62.73590000
41.77093506,-61.36227000
41.81861877,-57.79036000
41.86630249,-54.38726000
41.91398621,-55.67937000
41.96166992,-61.82434000
42.00935364,-55.88081000
42.05703735,-52.33471000
42.10472107,-51.36002000
42.15240479,-52.45642000
42.20008850,-56.08583000
42.24777222,-60.07808000
42.29545593,-59.50920000
42.34313965,-58.78883000
42.39082336,-57.38025000
42.43850708,-53.88879000
42.48619080,-54.18858000
